amount,date,category,description,payment_method,tags
244.19,2025-10-09,Gemstones,Studio rent,Cash,gift
214.69,2025-10-13,Gold/Silver,Gold chain purchase,Cash,personal
149.42,2025-10-15,Gold/Silver,Lunch with supplier,Transfer,
10.29,2025-10-18,Jewelry Supplies,Gemstone beads,Card,gift
13.47,2025-10-19,Packaging,TikTok ad campaign,Card,monthly
335.68,2025-10-20,Transport,Packaging boxes,Cash,
193.02,2025-10-20,Instagram Ads,Silver wire,Transfer,urgent
45.58,2025-10-21,Entertainment,Studio rent,Transfer,business
211.21,2025-10-22,Utilities,Packaging boxes,Transfer,business
43.21,2025-10-22,Packaging,Coffee run,Card,monthly
236.67,2025-10-22,Instagram Ads,Electricity bill,Transfer,monthly
99.72,2025-10-23,Gold/Silver,Lunch with supplier,Card,business
101.55,2025-10-27,Packaging,Lunch with supplier,Transfer,business
97.41,2025-10-28,Transport,Gemstone beads,Card,
117.14,2025-10-28,Utilities,Gold chain purchase,Card,business
250.96,2025-10-29,Instagram Ads,Taxi to meeting,Card,gift
162.19,2025-10-30,Marketing,Lunch with supplier,Cash,urgent
128.39,2025-10-30,Rent,New pliers set,Card,personal
129.75,2025-10-31,Jewelry Supplies,TikTok ad campaign,Cash,gift
292.13,2025-11-02,Utilities,Lunch with supplier,Card,urgent
128.33,2025-11-02,Marketing,Gemstone beads,Cash,personal
27.75,2025-11-03,Entertainment,Gold chain purchase,Cash,
137.53,2025-11-06,Jewelry Supplies,Taxi to meeting,Cash,business
183.86,2025-11-08,Utilities,Studio rent,Card,urgent
273.88,2025-11-08,Jewelry Supplies,Taxi to meeting,Transfer,business
120.42,2025-11-11,Rent,Instagram boosted post,Card,gift
285.02,2025-11-15,Jewelry Supplies,Silver wire,Cash,monthly
136.17,2025-11-16,Tools,Studio rent,Transfer,personal
32.02,2025-11-17,Instagram Ads,TikTok ad campaign,Cash,
168.78,2025-11-18,Gold/Silver,TikTok ad campaign,Card,business
12.78,2025-11-18,Instagram Ads,TikTok ad campaign,Cash,urgent
240.37,2025-11-20,Entertainment,Gold chain purchase,Card,business
258.56,2025-11-22,Packaging,Gold chain purchase,Card,business
339.08,2025-11-23,Jewelry Supplies,Gold chain purchase,Cash,
108.06,2025-11-25,Instagram Ads,Coffee run,Transfer,gift
238.11,2025-11-25,Jewelry Supplies,Instagram boosted post,Card,urgent
191.84,2025-11-29,Tools,Gold chain purchase,Card,monthly
13.72,2025-11-30,Packaging,Coffee run,Transfer,
128.72,2025-12-01,Packaging,Gemstone beads,Cash,monthly
319.14,2025-12-03,Gold/Silver,Lunch with supplier,Cash,urgent
212.12,2025-12-05,Gold/Silver,Gold chain purchase,Cash,personal
167.23,2025-12-11,Entertainment,Lunch with supplier,Cash,urgent
164.27,2025-12-12,Marketing,Silver wire,Cash,personal
179.35,2025-12-15,Transport,Studio rent,Transfer,urgent
282.98,2025-12-15,Gemstones,Packaging boxes,Transfer,
97.65,2025-12-16,Gold/Silver,New pliers set,Card,gift
241.85,2025-12-16,Utilities,Taxi to meeting,Cash,business
300.74,2025-12-17,Transport,TikTok ad campaign,Transfer,urgent
242.94,2025-12-21,Packaging,TikTok ad campaign,Transfer,personal
13.82,2025-12-24,Transport,Studio rent,Transfer,personal
145.26,2025-12-24,Marketing,TikTok ad campaign,Transfer,personal
25.44,2025-12-26,Jewelry Supplies,Electricity bill,Card,urgent
295.16,2025-12-27,Rent,TikTok ad campaign,Card,
30.49,2025-12-29,Instagram Ads,Instagram boosted post,Card,gift
281.89,2025-12-30,Utilities,Coffee run,Transfer,urgent
199.75,2026-01-01,Jewelry Supplies,Packaging boxes,Transfer,
191.21,2026-01-04,Marketing,Packaging boxes,Transfer,gift
202.23,2026-01-07,Gold/Silver,Gemstone beads,Card,gift
227.93,2026-01-07,Transport,Studio rent,Cash,urgent
335.59,2026-01-07,Gold/Silver,Packaging boxes,Card,urgent
